sku_id,unit_cost,annual_demand,weight_kg,volume_cu_m,pick_frequency
SKU_00023,186.35,19641,17.3,0.182,146
SKU_00167,97.33,37543,9.73,0.052,126
SKU_00589,80.19,44838,22.15,0.005,137
SKU_00987,220.24,16263,25.99,0.103,136
SKU_00637,125.02,28504,25.33,0.091,143
SKU_00389,404.38,8812,6.86,0.121,120
SKU_00213,116.01,30661,10.34,0.153,132
SKU_00430,75.78,46924,13.29,0.188,136
SKU_00951,334.19,10626,10.28,0.157,134
SKU_00579,132.83,26716,25.16,0.084,129
SKU_00478,484.8,7279,10.17,0.059,129
SKU_00286,235.47,14959,11.27,0.142,126
SKU_00659,287.54,12215,26.48,0.022,119
SKU_00282,190.91,18371,29.46,0.127,111
SKU_00980,170.45,20521,8.14,0.157,142
SKU_00511,212.03,16409,20.48,0.185,145
SKU_00177,196.43,17702,3.41,0.103,147
SKU_00582,248.85,13860,8.11,0.136,150
SKU_00944,107.18,32107,5.75,0.099,120
SKU_00600,88.62,38763,4.21,0.155,139
SKU_00223,187.02,18188,13.07,0.074,126
SKU_00806,467.51,7251,4.52,0.116,149
SKU_00747,274.06,12278,17.45,0.094,128
SKU_00022,149.61,22397,27.99,0.049,124
SKU_00622,188.38,17758,18.16,0.082,138
SKU_00629,129.96,25719,14.15,0.042,152
SKU_00556,71.34,46778,16.03,0.148,153
SKU_00531,499.86,6663,26.24,0.162,129
SKU_00235,362.61,9117,24.47,0.093,131
SKU_00317,90.78,36224,6.84,0.16,122
SKU_00946,72.76,44943,21.48,0.181,125
SKU_00715,465.12,7024,16.32,0.093,133
SKU_00215,122.44,26672,22.77,0.178,156
SKU_00942,327.45,9786,12.13,0.034,141
SKU_00703,71.54,44733,2.62,0.128,145
SKU_00885,93.38,33855,21.72,0.055,129
SKU_00482,230.0,13712,22.81,0.16,151
SKU_00158,122.63,25525,29.28,0.157,146
SKU_00892,415.96,7521,17.35,0.156,150
SKU_00997,72.73,42785,21.62,0.046,127
SKU_00130,211.62,14661,3.26,0.191,141
SKU_00902,94.81,32596,4.44,0.057,158
SKU_00870,189.79,16135,29.84,0.032,132
SKU_00319,128.87,23750,13.91,0.169,152
SKU_00625,187.61,16101,14.14,0.083,127
SKU_00418,337.9,8883,22.55,0.123,135
SKU_00049,96.5,31007,11.01,0.069,133
SKU_00927,273.11,10856,15.84,0.103,144
SKU_00866,81.84,36141,15.9,0.197,122
SKU_00811,420.25,6994,17.83,0.006,136
SKU_00445,473.89,6190,18.44,0.103,137
SKU_00326,279.41,10496,27.13,0.086,121
SKU_00350,254.05,11525,1.49,0.005,132
SKU_00887,122.9,23811,20.65,0.166,143
SKU_00958,87.31,33500,26.01,0.068,114
SKU_00730,86.31,33868,15.4,0.086,127
SKU_00973,111.4,26216,7.7,0.041,116
SKU_00636,268.65,10824,25.02,0.196,120
SKU_00767,439.0,6571,11.31,0.084,142
SKU_00380,63.49,44959,20.54,0.022,134
SKU_00413,288.85,9868,19.82,0.051,139
SKU_00366,480.79,5876,14.88,0.196,127
SKU_00604,64.71,43420,28.45,0.172,111
SKU_00405,448.28,6254,14.97,0.129,127
SKU_00262,74.34,37411,5.09,0.055,139
SKU_00519,79.46,34939,6.54,0.09,132
SKU_00097,216.63,12776,11.21,0.013,140
SKU_00479,263.93,10426,8.97,0.154,145
SKU_00087,320.59,8536,17.51,0.196,127
SKU_00316,207.43,13125,25.6,0.026,146
SKU_00787,203.42,13278,5.4,0.188,136
SKU_00790,80.91,33274,7.13,0.167,135
SKU_00588,68.38,39298,14.7,0.116,146
SKU_00729,86.01,31216,15.82,0.157,150
SKU_00028,298.25,8920,26.96,0.148,119
SKU_00644,64.28,41335,8.41,0.015,159
SKU_00493,98.12,27011,2.71,0.1,149
SKU_00135,164.99,16034,22.41,0.036,136
SKU_00555,204.72,12865,18.88,0.086,139
SKU_00011,485.11,5419,16.02,0.137,130
SKU_00156,337.71,7757,23.5,0.121,129
SKU_00206,55.23,47427,21.87,0.066,139
SKU_00084,158.94,16471,4.1,0.17,138
SKU_00520,299.09,8695,10.88,0.161,124
SKU_00546,61.21,42329,3.91,0.093,99
SKU_00133,172.12,14999,1.53,0.092,128
SKU_00784,94.89,27066,10.75,0.099,135
SKU_00294,67.89,37667,22.04,0.025,145
SKU_00425,277.02,9227,23.97,0.011,117
SKU_00975,134.82,18852,5.57,0.048,139
SKU_00653,373.99,6738,1.44,0.076,156
SKU_00900,107.9,23264,7.34,0.08,178
SKU_00123,59.48,41998,14.91,0.106,147
SKU_00587,68.8,36242,6.68,0.11,132
SKU_00047,262.43,9474,0.63,0.088,149
SKU_00590,73.72,33497,15.8,0.189,139
SKU_00985,250.27,9815,15.01,0.123,140
SKU_00422,50.15,48887,10.38,0.155,122
SKU_00967,152.08,16001,1.36,0.12,136
SKU_00372,51.75,46865,9.33,0.121,140
SKU_00218,326.57,7414,3.27,0.052,140
SKU_00330,181.21,13361,1.81,0.192,132
SKU_00750,62.86,38460,5.1,0.064,141
SKU_00562,72.5,33242,7.97,0.07,139
SKU_00346,319.37,7524,25.36,0.126,144
SKU_00014,95.0,25164,6.44,0.018,149
SKU_00297,111.83,21295,19.16,0.07,127
SKU_00283,51.52,45639,6.37,0.027,123
SKU_00038,343.7,6837,2.49,0.054,120
SKU_00919,74.36,31467,22.81,0.112,159
SKU_00353,85.65,26531,10.44,0.083,126
SKU_00676,60.46,37480,19.91,0.052,122
SKU_00805,369.54,6112,21.95,0.009,145
SKU_00837,184.38,12249,26.84,0.137,126
SKU_00708,131.05,17187,14.05,0.093,136
SKU_00214,357.53,6283,12.46,0.165,137
SKU_00287,273.61,8173,3.76,0.035,136
SKU_00867,95.05,23484,23.82,0.034,147
SKU_00460,63.18,35298,22.22,0.016,141
SKU_00809,61.05,36478,27.22,0.013,134
SKU_00694,61.84,35940,19.17,0.112,125
SKU_00243,188.23,11800,25.0,0.013,130
SKU_00933,265.22,8358,3.69,0.103,133
SKU_00284,291.25,7591,24.77,0.112,111
SKU_00454,60.04,36779,24.63,0.164,127
SKU_00434,46.63,47319,10.76,0.148,134
SKU_00260,309.43,7109,5.43,0.164,121
SKU_00830,116.18,18843,15.72,0.183,155
SKU_00602,92.62,23599,5.03,0.156,146
SKU_00650,48.03,45372,17.29,0.01,153
SKU_00163,270.21,8006,2.17,0.162,131
SKU_00066,74.76,28787,19.03,0.142,140
SKU_00147,253.83,8345,10.71,0.171,130
SKU_00339,53.43,39314,1.18,0.163,141
SKU_00111,84.8,24657,28.69,0.186,154
SKU_00754,73.94,28244,16.0,0.082,159
SKU_00681,132.66,15677,12.19,0.109,119
SKU_00306,260.57,7913,17.01,0.135,127
SKU_00265,371.68,5545,12.13,0.2,138
SKU_00696,147.87,13698,15.95,0.028,120
SKU_00682,89.59,22573,9.7,0.152,130
SKU_00617,142.05,14235,8.14,0.026,120
SKU_00601,142.9,14094,10.29,0.19,148
SKU_00897,448.69,4458,20.48,0.175,106
SKU_00965,181.06,10854,20.29,0.151,135
SKU_00530,407.39,4803,19.56,0.044,136
SKU_00776,118.48,16453,29.13,0.114,157
SKU_00391,209.25,9308,12.92,0.148,135
SKU_00254,88.9,21827,19.34,0.147,137
SKU_00099,58.41,32833,19.42,0.138,154
SKU_00672,44.72,42859,26.16,0.133,141
SKU_00468,115.68,16505,29.4,0.067,133
SKU_00895,106.47,17827,3.12,0.002,135
SKU_00712,238.43,7948,25.57,0.014,116
SKU_00841,333.45,5595,17.78,0.026,139
SKU_00571,392.91,4699,2.03,0.063,152
SKU_00320,276.87,6640,14.48,0.02,154
SKU_00832,74.72,24589,13.29,0.05,136
SKU_00411,475.28,3862,0.64,0.117,140
SKU_00192,450.71,4072,26.39,0.176,146
SKU_00037,53.35,34368,7.05,0.092,126
SKU_00202,85.01,21552,9.67,0.087,143
SKU_00278,352.47,5184,19.13,0.126,145
SKU_00858,284.6,6395,1.01,0.084,140
SKU_00969,240.64,7546,27.91,0.076,131
SKU_00539,68.93,26117,12.44,0.016,133
SKU_00746,195.03,9208,25.27,0.002,141
SKU_00345,309.85,5726,12.92,0.196,111
SKU_00620,96.34,18409,0.19,0.103,120
SKU_00181,61.17,28941,16.55,0.007,168
SKU_00109,43.11,40700,25.8,0.192,128
SKU_00711,299.84,5804,11.68,0.165,152
SKU_00429,62.95,27524,2.89,0.109,143
SKU_00443,188.47,9178,16.78,0.172,136
SKU_00775,79.21,21736,1.03,0.116,153
SKU_00466,146.43,11753,9.76,0.119,135
SKU_00193,318.39,5395,7.83,0.195,143
SKU_00179,73.07,23365,2.94,0.127,145
SKU_00259,53.1,32066,0.16,0.179,137
SKU_00166,163.79,10322,26.88,0.162,142
SKU_00080,432.24,3910,5.39,0.042,116
SKU_00400,56.05,30115,23.63,0.087,129
SKU_00040,65.41,25610,3.75,0.027,134
SKU_00735,439.21,3812,28.4,0.134,118
SKU_00253,161.88,10277,11.62,0.063,158
SKU_00834,251.69,6541,27.57,0.12,124
SKU_00222,51.37,31390,26.33,0.128,143
SKU_00528,32.91,48789,1.87,0.175,149
SKU_00770,59.76,26623,29.85,0.015,139
SKU_00459,63.81,24926,3.62,0.004,122
SKU_00209,84.6,18646,2.85,0.087,146
SKU_00132,64.33,24362,13.35,0.045,140
SKU_00441,493.39,3141,15.65,0.018,126
SKU_00753,170.78,9027,29.33,0.17,158
SKU_00641,164.43,9300,6.63,0.189,137
SKU_00230,398.43,3838,5.9,0.146,139
SKU_00083,36.46,41873,7.53,0.179,127
SKU_00899,47.33,32217,25.28,0.197,122
SKU_00409,50.19,30187,22.78,0.091,136
SKU_00669,146.12,10325,21.56,0.042,129
SKU_00864,203.38,7327,10.07,0.088,136
SKU_00667,84.54,17375,25.9,0.152,135
SKU_00924,215.48,6804,24.66,0.026,136
SKU_00114,318.53,4594,19.79,0.037,135
SKU_00383,439.35,3324,6.9,0.112,136
SKU_00875,82.3,17733,19.02,0.165,127
SKU_00654,218.67,6670,13.57,0.166,138
SKU_00542,118.18,12301,0.64,0.105,140
SKU_00908,133.41,10893,8.85,0.133,132
SKU_00888,54.22,26222,0.83,0.142,160
SKU_00151,123.58,11462,2.15,0.092,130
SKU_00152,76.72,18397,12.79,0.156,160
SKU_00565,297.01,4748,8.59,0.176,162
SKU_00818,32.11,43696,1.83,0.191,166
SKU_00063,181.59,7664,5.42,0.042,148
SKU_00828,370.06,3754,9.14,0.014,128
SKU_00333,62.46,22142,12.03,0.046,123
SKU_00053,447.94,3083,6.43,0.115,124
SKU_00722,37.92,36041,22.8,0.093,123
SKU_00859,37.53,36093,26.17,0.034,133
SKU_00960,45.99,29428,27.23,0.006,136
SKU_00288,146.84,9177,22.09,0.195,125
SKU_00241,477.19,2819,25.46,0.107,145
SKU_00656,145.47,9210,5.04,0.075,135
SKU_00060,197.4,6740,2.33,0.166,151
SKU_00030,305.73,4332,9.59,0.181,132
SKU_00013,110.11,12018,4.32,0.116,114
SKU_00057,102.01,12751,8.99,0.176,130
SKU_00311,43.84,29341,17.64,0.102,131
SKU_00090,64.2,19995,18.61,0.034,134
SKU_00433,55.06,23216,2.91,0.124,132
SKU_00387,92.83,13647,16.51,0.104,127
SKU_00827,176.74,7152,14.81,0.141,128
SKU_00077,41.65,30069,10.69,0.129,127
SKU_00374,40.24,30807,29.02,0.066,118
SKU_00334,27.77,44513,27.69,0.176,132
SKU_00281,172.31,7159,22.4,0.19,130
SKU_00503,407.83,3020,24.21,0.082,131
SKU_00613,45.47,27028,7.95,0.151,159
SKU_00599,25.23,48503,13.99,0.136,128
SKU_00199,391.04,3120,16.78,0.03,141
SKU_00331,380.13,3193,6.83,0.143,140
SKU_00335,25.16,47951,14.21,0.162,146
SKU_00299,47.25,25438,5.43,0.011,140
SKU_00916,150.76,7943,1.11,0.105,128
SKU_00239,92.67,12813,16.21,0.079,127
SKU_00318,82.44,14388,11.37,0.124,116
SKU_00959,370.33,3183,17.2,0.198,119
SKU_00889,125.37,9260,9.25,0.124,121
SKU_00792,255.41,4531,16.39,0.173,116
SKU_00291,23.49,49246,1.97,0.037,136
SKU_00428,178.7,6468,11.98,0.187,134
SKU_00056,48.8,23610,18.62,0.11,131
SKU_00922,447.8,2572,26.02,0.024,128
SKU_00854,106.54,10717,6.7,0.178,139
SKU_00603,48.91,23140,5.2,0.123,141
SKU_00058,27.39,41098,12.97,0.135,127
SKU_00782,129.64,8334,7.48,0.094,137
SKU_00285,22.79,47395,15.66,0.156,127
SKU_00592,95.03,10931,26.07,0.1,137
SKU_00593,176.11,5824,2.03,0.187,137
SKU_00292,412.19,2453,24.06,0.021,132
SKU_00031,89.41,11222,28.59,0.054,130
SKU_00392,189.15,5209,4.31,0.127,141
SKU_00773,201.66,4860,18.25,0.136,135
SKU_00201,46.65,20520,1.71,0.046,148
SKU_00995,50.33,18980,16.61,0.01,140
SKU_00096,263.75,3530,1.37,0.108,134
SKU_00616,35.23,26255,29.52,0.041,122
SKU_00883,56.53,16114,3.22,0.016,127
SKU_00021,74.05,12282,17.23,0.138,135
SKU_00764,21.6,42086,3.99,0.103,135
SKU_00760,80.08,11307,11.92,0.183,145
SKU_00812,66.71,13567,18.01,0.035,135
SKU_00117,97.35,9255,2.38,0.173,126
SKU_00009,355.5,2521,18.88,0.195,120
SKU_00351,428.96,2080,18.63,0.079,131
SKU_00071,103.36,8602,19.71,0.135,122
SKU_00844,78.59,11230,29.88,0.139,137
SKU_00168,25.18,34801,3.84,0.05,123
SKU_00079,62.36,14019,14.5,0.156,151
SKU_00874,17.57,49734,10.32,0.005,129
SKU_00121,448.57,1928,23.46,0.028,130
SKU_00449,46.33,18540,15.26,0.11,135
SKU_00974,20.44,41423,26.28,0.059,114
SKU_00237,17.04,49238,20.67,0.059,139
SKU_00379,144.52,5755,2.76,0.195,141
SKU_00514,27.38,30127,29.75,0.158,121
SKU_00728,104.81,7861,11.85,0.172,140
SKU_00042,22.02,37365,28.1,0.115,131
SKU_00928,318.57,2575,13.95,0.181,143
SKU_00833,92.31,8736,18.21,0.138,128
SKU_00354,39.93,19540,9.52,0.187,159
SKU_00440,46.99,16469,26.92,0.178,136
SKU_00491,311.97,2456,7.41,0.128,114
SKU_00190,51.09,14763,20.18,0.17,138
SKU_00940,140.66,5349,21.68,0.027,152
SKU_00988,126.97,5882,14.33,0.141,131
SKU_00220,330.52,2239,2.9,0.119,135
SKU_00019,149.16,4906,6.79,0.109,131
SKU_00846,47.25,15322,0.19,0.124,129
SKU_00926,138.0,5151,19.15,0.084,149
SKU_00487,144.08,4880,7.7,0.008,144
SKU_00664,55.38,12695,21.58,0.105,156
SKU_00273,457.05,1535,14.65,0.151,126
SKU_00492,142.3,4890,3.48,0.167,154
SKU_00619,375.39,1842,26.76,0.107,143
SKU_00101,320.02,2150,8.05,0.1,134
SKU_00001,475.6,1441,4.94,0.13,138
SKU_00706,164.57,4133,24.26,0.106,161
SKU_00029,27.99,24170,24.9,0.067,114
SKU_00300,30.58,21830,20.61,0.029,123
SKU_00606,107.14,6199,23.69,0.082,137
SKU_00957,28.25,23297,16.99,0.115,149
SKU_00231,253.81,2569,26.41,0.155,146
SKU_00377,16.52,38927,21.63,0.003,150
SKU_00436,41.02,15625,8.37,0.133,120
SKU_00476,41.53,15413,11.43,0.051,120
SKU_00598,100.18,6376,27.33,0.153,138
SKU_00936,14.1,45213,12.1,0.194,134
SKU_00010,15.19,39987,20.26,0.011,133
SKU_00628,23.16,25992,18.71,0.057,152
SKU_00741,154.18,3826,23.77,0.166,130
SKU_00211,347.49,1691,14.7,0.169,125
SKU_00901,18.13,32010,14.4,0.143,128
SKU_00481,349.4,1660,3.41,0.042,148
SKU_00472,26.36,21388,2.88,0.057,115
SKU_00032,37.2,15123,24.77,0.145,131
SKU_00008,302.55,1850,16.24,0.148,134
SKU_00486,27.5,20122,9.49,0.172,149
SKU_00938,63.29,8633,26.47,0.149,121
SKU_00312,17.55,30778,20.96,0.078,134
SKU_00586,42.55,12688,7.64,0.066,155
SKU_00189,124.72,4233,29.77,0.084,126
SKU_00518,493.7,1056,26.0,0.165,130
SKU_00580,232.27,2213,8.63,0.151,163
SKU_00724,289.36,1767,26.7,0.084,119
SKU_00977,30.46,16769,3.98,0.189,126
SKU_00323,143.57,3442,21.21,0.142,134
SKU_00005,82.22,5995,11.79,0.08,154
SKU_00370,54.89,8882,5.82,0.156,115
SKU_00264,439.3,1107,11.69,0.068,126
SKU_00439,45.27,10461,5.96,0.066,146
SKU_00983,42.19,11123,29.98,0.155,136
SKU_00244,12.65,36609,0.43,0.073,123
SKU_00458,32.87,13729,25.72,0.072,133
SKU_00640,14.94,29956,13.21,0.047,140
SKU_00497,43.48,10281,22.22,0.084,139
SKU_00668,97.35,4570,0.16,0.004,125
SKU_00871,139.02,3140,2.79,0.042,135
SKU_00407,10.36,41788,26.18,0.075,150
SKU_00257,349.53,1236,4.22,0.152,135
SKU_00236,143.98,2908,18.49,0.01,115
SKU_00006,33.75,12354,15.08,0.186,146
SKU_00100,20.56,20244,15.03,0.186,130
SKU_00701,30.65,13480,16.02,0.11,128
SKU_00646,298.83,1339,8.61,0.122,128
SKU_00068,41.9,9423,7.06,0.121,139
SKU_00448,191.25,2025,5.15,0.047,135
SKU_00470,11.02,33762,3.98,0.077,131
SKU_00126,409.92,906,6.89,0.023,144
SKU_00164,49.69,7387,28.8,0.036,136
SKU_00850,38.2,9535,9.43,0.07,119
SKU_00347,27.43,12957,8.12,0.05,144
SKU_00368,101.92,3480,4.43,0.147,120
SKU_00369,39.33,8811,21.78,0.024,117
SKU_00145,23.26,14299,28.28,0.193,139
SKU_00563,12.2,27016,1.48,0.083,132
SKU_00898,11.44,28582,3.48,0.089,154
SKU_00930,73.98,4355,9.17,0.164,131
SKU_00952,91.81,3474,28.22,0.051,156
SKU_00356,18.12,17275,2.68,0.176,146
SKU_00726,74.19,4214,11.16,0.165,128
SKU_00576,77.8,3914,29.67,0.15,138
SKU_00794,13.96,21727,17.53,0.185,120
SKU_00424,33.49,9005,11.78,0.075,129
SKU_00704,36.37,8225,12.04,0.15,120
SKU_00736,199.26,1467,10.26,0.02,131
SKU_00982,57.77,4995,19.07,0.002,152
SKU_00878,18.41,15096,28.12,0.061,133
SKU_00500,350.59,761,13.12,0.12,143
SKU_00128,8.44,29857,13.57,0.1,123
SKU_00840,11.48,21775,18.1,0.177,138
SKU_00626,233.95,1068,13.57,0.13,138
SKU_00371,14.02,17534,10.21,0.157,149
SKU_00171,13.21,17774,14.63,0.001,122
SKU_00290,20.1,11483,11.21,0.033,125
SKU_00856,23.09,9952,22.9,0.111,138
SKU_00655,68.15,3349,27.89,0.169,112
SKU_00557,19.25,11661,19.09,0.173,149
SKU_00148,30.48,7314,12.42,0.155,142
SKU_00382,316.33,626,29.42,0.196,138
SKU_00559,312.05,625,6.63,0.158,130
SKU_00098,17.58,10916,8.05,0.138,143
SKU_00465,190.56,999,21.78,0.12,131
SKU_00665,80.67,2069,28.63,0.071,128
SKU_00821,7.29,20929,1.13,0.167,162
SKU_00610,24.46,6216,7.1,0.176,137
SKU_00332,12.12,11822,4.03,0.191,132
SKU_00630,358.11,381,13.48,0.009,139
SKU_00515,18.05,7105,2.27,0.189,139
SKU_00149,142.93,826,16.53,0.063,138
SKU_00868,431.58,245,29.72,0.024,117
SKU_00044,133.1,714,8.4,0.077,123
SKU_00205,9.55,9616,16.23,0.086,139
SKU_00772,68.11,1277,2.74,0.147,142
SKU_00621,108.63,719,1.29,0.164,130
SKU_00634,58.05,1158,25.64,0.17,153
SKU_00925,16.12,3813,16.68,0.14,137
SKU_00955,194.65,307,24.82,0.068,135
SKU_00687,143.59,402,26.65,0.118,131
SKU_00649,251.73,225,26.41,0.075,128
SKU_00882,14.76,2952,21.03,0.156,137
SKU_00718,66.53,588,6.87,0.155,131
SKU_00442,190.26,205,13.48,0.162,107
SKU_00456,10.62,3489,23.98,0.182,132
SKU_00004,82.23,438,17.04,0.008,135
SKU_00208,7.51,2496,20.59,0.03,135
SKU_00945,10.44,761,23.51,0.082,119
SKU_00072,7.73,645,25.46,0.117,137
